crop_id,split,image_file,flight_id,frame_num,line_num,cls,xc,yc,w,h
test_152_14253_0,test,152_14253_jpg.rf.4e1d4b358741a03c9bb3136cab3b4f42.jpg,152,14253,0,0,0.754638671875,0.671630859375,0.02001953125,0.02685546875
test_152_14453_4,test,152_14453_jpg.rf.098230b1c833d2a6709ab9d02da79a1a.jpg,152,14453,4,0,0.609375,0.66845703125,0.021484375,0.0322265625
test_152_14473_4,test,152_14473_jpg.rf.088dfd0fb7f885a750be168b8954b122.jpg,152,14473,4,0,0.579833984375,0.6552734375,0.02197265625,0.0322265625
test_152_14490_3,test,152_14490_jpg.rf.0d74634f578f8ec54f4b0b41ebb46eb2.jpg,152,14490,3,0,0.4599609375,0.5654296875,0.0234375,0.025390625
test_152_14493_3,test,152_14493_jpg.rf.23128792c053550b4314644f0e01c78f.jpg,152,14493,3,0,0.456298828125,0.563720703125,0.02392578125,0.02685546875
test_152_14513_4,test,152_14513_jpg.rf.2ea713dbd39ce2795d93dc8a24338747.jpg,152,14513,4,0,0.524658203125,0.62451171875,0.02099609375,0.029296875
test_152_14553_5,test,152_14553_jpg.rf.f8d805f989513ecf5e33a7eca835ba4a.jpg,152,14553,5,0,0.586181640625,0.64599609375,0.02099609375,0.029296875
test_152_14563_3,test,152_14563_jpg.rf.ec409e8f882e85dc9a084607ab891bfc.jpg,152,14563,3,0,0.3564453125,0.5009765625,0.0244140625,0.0263671875
test_152_14613_4,test,152_14613_jpg.rf.9e085b1f0e93a3cc1a4fee68a64e33ef.jpg,152,14613,4,0,0.5078125,0.58349609375,0.0205078125,0.0302734375
test_152_14613_7,test,152_14613_jpg.rf.9e085b1f0e93a3cc1a4fee68a64e33ef.jpg,152,14613,7,0,0.656005859375,0.663330078125,0.02490234375,0.03076171875
test_152_14640_7,test,152_14640_jpg.rf.af17b97acac340ef32449754d12d2298.jpg,152,14640,7,0,0.626708984375,0.632568359375,0.02783203125,0.03271484375
test_152_14683_0,test,152_14683_jpg.rf.9f9d96e770e5a8639488a105052d92b2.jpg,152,14683,0,0,0.3076171875,0.44775390625,0.025390625,0.025390625
test_152_14683_9,test,152_14683_jpg.rf.9f9d96e770e5a8639488a105052d92b2.jpg,152,14683,9,0,0.708251953125,0.389892578125,0.02880859375,0.02294921875
test_152_14693_1,test,152_14693_jpg.rf.6edbed84345a96e33645066122165099.jpg,152,14693,1,0,0.414794921875,0.488525390625,0.02001953125,0.02685546875
test_152_14693_7,test,152_14693_jpg.rf.6edbed84345a96e33645066122165099.jpg,152,14693,7,0,0.662841796875,0.338623046875,0.02587890625,0.02197265625
test_152_14700_1,test,152_14700_jpg.rf.6f919c87f7b3f08527cd9142be0f0100.jpg,152,14700,1,0,0.406494140625,0.4814453125,0.02001953125,0.0263671875
test_152_14700_8,test,152_14700_jpg.rf.6f919c87f7b3f08527cd9142be0f0100.jpg,152,14700,8,0,0.691162109375,0.37255859375,0.03564453125,0.0263671875
test_152_14730_4,test,152_14730_jpg.rf.1f6696f6b6867d337ef3a44152ba9ee5.jpg,152,14730,4,0,0.52587890625,0.53369140625,0.0283203125,0.0302734375
test_152_14783_3,test,152_14783_jpg.rf.400e91524638b7ef33df15d54cdfccc8.jpg,152,14783,3,0,0.471435546875,0.479736328125,0.02783203125,0.02880859375
